Designator,Mid X,Mid Y,Layer,Rotation
C1,162.33,78.89,B,180.00
C9,4.18,89.19,B,270.00
C10,7.87,70.15,B,270.00
C11,10.27,51.09,B,270.00
C12,15.02,32.04,B,270.00
C13,5.54,13.00,B,270.00
C14,19.16,87.33,B,270.00
C15,159.64,85.30,B,270.00
C16,161.16,86.09,B,270.00
C23,168.10,62.14,B,45.00
C24,165.39,59.44,B,225.00
C25,151.19,66.97,B,0.00
C26,156.74,69.39,B,45.00
C27,157.78,72.33,B,135.00
C28,166.18,71.00,B,45.00
C29,166.73,64.21,B,315.00
C30,157.06,63.40,B,180.00
C31,156.28,66.96,B,180.00
C32,163.64,73.57,B,45.00
C33,155.48,71.75,B,135.00
C34,153.68,66.98,B,180.00
C35,165.22,62.59,B,225.00
C39,162.46,85.30,B,270.00
C40,165.01,85.29,B,270.00
D1,19.18,90.70,B,180.00
D2,38.23,90.70,B,180.00
D3,57.28,90.70,B,180.00
D4,76.33,90.70,B,180.00
D5,95.38,90.70,B,180.00
D6,114.42,90.70,B,180.00
D7,133.49,90.69,B,90.00
D8,153.15,90.69,B,270.00
D9,172.25,90.70,B,270.00
D10,190.63,90.70,B,180.00
D11,209.68,90.70,B,180.00
D12,228.74,90.70,B,180.00
D13,251.82,90.68,B,180.00
D14,283.00,90.69,B,180.00
D15,9.65,93.85,T,0.00
D16,28.70,93.85,T,0.00
D17,47.75,93.85,T,0.00
D18,66.80,93.85,T,0.00
D19,85.85,93.85,T,0.00
D20,104.90,93.85,T,0.00
D21,123.95,93.85,T,0.00
D22,143.00,93.85,T,180.00
D23,162.05,93.85,T,180.00
D24,181.10,93.85,T,0.00
D25,200.15,93.85,T,0.00
D26,219.20,93.85,T,0.00
D27,238.25,93.85,T,0.00
D28,266.82,93.85,T,0.00
D29,295.40,93.85,T,0.00
D30,14.41,74.80,T,0.00
D31,38.22,74.80,T,0.00
D32,57.27,74.80,T,0.00
D33,76.32,74.80,T,0.00
D34,95.37,74.80,T,0.00
D35,114.42,74.80,T,0.00
D36,133.47,74.80,T,0.00
D37,152.52,74.80,T,0.00
D38,171.57,74.80,T,0.00
D39,190.62,74.80,T,0.00
D40,209.67,74.80,T,0.00
D41,228.72,74.80,T,0.00
D42,247.77,74.80,T,0.00
D43,271.59,74.80,T,0.00
D44,295.40,74.80,T,0.00
D45,16.79,55.75,T,0.00
D46,42.99,55.75,T,0.00
D47,62.04,55.75,T,0.00
D48,81.09,55.75,T,0.00
D49,100.14,55.75,T,0.00
D50,119.19,55.75,T,0.00
D51,138.24,55.75,T,0.00
D52,157.29,55.75,T,0.00
D53,176.34,55.75,T,0.00
D54,195.39,55.75,T,0.00
D55,214.44,55.75,T,0.00
D56,233.49,55.75,T,0.00
D57,264.44,55.75,T,0.00
D58,295.40,55.75,T,0.00
D59,21.56,36.70,T,0.00
D60,52.51,36.70,T,0.00
D61,71.56,36.70,T,0.00
D62,90.61,36.70,T,0.00
D63,109.66,36.70,T,0.00
D64,128.71,36.70,T,0.00
D65,147.76,36.70,T,0.00
D66,166.81,36.70,T,0.00
D67,185.86,36.70,T,0.00
D68,204.91,36.70,T,0.00
D69,223.96,36.70,T,0.00
D70,250.16,36.70,T,0.00
D71,276.35,36.70,T,0.00
D72,295.40,36.70,T,0.00
D73,12.03,17.65,T,0.00
D74,35.84,17.65,T,0.00
D75,59.66,17.65,T,0.00
D76,95.84,17.65,T,0.00
D77,137.24,17.65,T,0.00
D78,172.83,17.65,T,0.00
D79,207.25,17.65,T,0.00
D80,226.34,17.65,T,0.00
D81,257.30,17.65,T,0.00
D82,276.35,17.65,T,0.00
D83,295.40,17.65,T,0.00
D84,18.74,96.77,B,270.00
D85,57.28,99.86,B,270.00
D86,95.38,99.87,B,270.00
D87,133.48,99.87,B,270.00
D88,171.58,99.86,B,270.00
D89,209.22,96.80,B,270.00
D90,247.78,99.87,B,270.00
D91,282.74,99.84,B,270.00
D92,23.93,84.32,B,270.00
D93,66.80,80.82,B,270.00
D94,104.90,80.82,B,270.00
D95,143.00,80.82,B,270.00
D96,181.10,80.82,B,270.00
D97,219.20,80.82,B,270.00
D98,262.06,84.32,B,270.00
D99,285.88,84.32,B,270.00
D100,26.32,61.77,B,270.00
D101,71.56,61.77,B,270.00
D102,109.67,61.77,B,270.00
D103,147.77,61.77,B,270.00
D104,185.87,61.77,B,270.00
D105,223.97,61.77,B,270.00
D106,285.88,61.77,B,270.00
D107,26.32,46.23,B,270.00
D108,62.04,42.72,B,270.00
D109,100.14,42.72,B,270.00
D110,138.24,42.72,B,270.00
D111,176.34,42.72,B,270.00
D112,214.44,42.72,B,270.00
D113,266.83,46.22,B,270.00
D114,285.88,42.72,B,270.00
D115,21.56,27.16,B,270.00
D116,69.18,23.67,B,270.00
D117,212.06,23.67,B,270.00
D118,266.83,23.67,B,270.00
D119,285.88,23.67,B,270.00
D120,158.47,84.37,B,270.00
D121,245.02,61.76,B,270.00
D122,164.43,23.67,B,270.00
F1,156.23,85.77,B,0.00
FB1,160.46,86.10,B,90.00
FB2,146.87,101.10,B,180.00
J1,169.67,83.97,B,180.00
J2,152.54,98.60,B,180.00
MX1,9.65,93.85,T,0.00
MX2,28.70,93.85,T,0.00
MX3,47.75,93.85,T,0.00
MX4,66.80,93.85,T,0.00
MX5,85.85,93.85,T,0.00
MX6,104.90,93.85,T,0.00
MX7,123.95,93.85,T,0.00
MX8,143.00,93.85,T,180.00
MX9,162.05,93.85,T,180.00
MX10,181.10,93.85,T,0.00
MX11,200.15,93.85,T,0.00
MX12,219.20,93.85,T,0.00
MX13,238.25,93.85,T,0.00
MX14,266.82,93.85,T,0.00
MX15,295.40,93.85,T,0.00
MX16,14.41,74.80,T,0.00
MX17,38.22,74.80,T,0.00
MX18,57.27,74.80,T,0.00
MX19,76.32,74.80,T,0.00
MX20,95.37,74.80,T,0.00
MX21,114.42,74.80,T,0.00
MX22,133.47,74.80,T,0.00
MX23,152.52,74.80,T,0.00
MX24,171.57,74.80,T,0.00
MX25,190.62,74.80,T,0.00
MX26,209.67,74.80,T,0.00
MX27,228.72,74.80,T,0.00
MX28,247.77,74.80,T,0.00
MX29,271.59,74.80,T,0.00
MX30,295.40,74.80,T,0.00
MX31,16.79,55.75,T,0.00
MX32,42.99,55.75,T,0.00
MX33,62.04,55.75,T,0.00
MX34,81.09,55.75,T,0.00
MX35,100.14,55.75,T,0.00
MX36,119.19,55.75,T,0.00
MX37,138.24,55.75,T,0.00
MX38,157.29,55.75,T,0.00
MX39,176.34,55.75,T,0.00
MX40,195.39,55.75,T,0.00
MX41,214.44,55.75,T,0.00
MX42,233.49,55.75,T,0.00
MX43,264.44,55.75,T,0.00
MX44,295.40,55.75,T,0.00
MX45,21.56,36.70,T,0.00
MX46,52.51,36.70,T,0.00
MX47,71.56,36.70,T,0.00
MX48,90.61,36.70,T,0.00
MX49,109.66,36.70,T,0.00
MX50,128.71,36.70,T,0.00
MX51,147.76,36.70,T,0.00
MX52,166.81,36.70,T,0.00
MX53,185.86,36.70,T,0.00
MX54,204.91,36.70,T,0.00
MX55,223.96,36.70,T,0.00
MX56,250.16,36.70,T,0.00
MX57,276.35,36.70,T,0.00
MX58,295.40,36.70,T,0.00
MX59,12.03,17.65,T,0.00
MX60,35.84,17.65,T,0.00
MX61,59.66,17.65,T,0.00
MX62,131.09,17.65,T,0.00
MX63,202.53,17.65,T,0.00
MX64,226.34,17.65,T,0.00
MX65,257.30,17.65,T,0.00
MX66,276.35,17.65,T,0.00
MX67,295.40,17.65,T,0.00
MX68,12.03,55.75,T,0.00
MX69,14.41,17.65,T,0.00
MX70,38.22,17.65,T,0.00
MX71,62.04,17.65,T,0.00
MX72,143.00,17.65,T,0.00
MX73,12.03,36.70,T,0.00
MX74,223.96,17.65,T,0.00
MX78,104.90,17.65,T,0.00
MX79,181.10,17.65,T,0.00
MX80,33.46,36.70,T,0.00
MX81,276.35,93.85,T,0.00
MX82,257.30,93.85,T,0.00
R1,156.81,71.35,B,45.00
R2,157.27,71.84,B,45.00
R3,148.21,95.40,B,180.00
R4,156.87,95.40,B,0.00
R5,164.59,81.44,B,0.00
R17,163.14,74.07,B,135.00
R20,165.69,62.11,B,135.00
U1,161.44,76.23,B,0.00
U2,153.14,86.88,B,0.00
U6,162.04,68.29,B,315.00
U7,147.89,85.42,B,270.00
U8,163.77,85.46,B,180.00
Y2,166.75,60.79,B,315.00
